"contactId";"customerTypeCode";"preferredContactMethod";"BranchName";"accountId";"jobTitle";"FullName";"department";"birthDate";"annualIncome";"MaritalStatus";"numberOfChildren";"TelePhone";"Address_id"
"";"Companies";"Fax";"Kreiger-Lowe";"373";"Research Nurse";"Harlan Guido";"Training";"5/1/72";"31305840";"Married";"6";"0781-5225";"945"
"6061";"Companies";"Mobile";"Dare Group";"550";"Computer Systems Analyst III";"Hastings Bonifant";"Support";"8/24/1986";"50528639";"Single";"4";"0527-1379";"849"
"6057";"Partnership Firms";"Email";"Mann, Bogisich and Russel";"909";"Nurse Practicioner";"Adelheid Swayton";"Research and Development";"2/1/76";"62567573";"Single";"3";"0268-6231";"832"
"6051";"Clubs and Associations";"Mobile";"Yundt, Stark and Considine";"478";"Account Executive";"Codi Abbay";"Human Resources";"2/28/1968";"76474770";"Single";"3";"0904-0726";"955"
"6003";"Trusts";"Office";"Mann and Sons";"861";"Recruiter";"Kiele Briers";"Product Management";"11/5/65";"84530195";"Single";"6";"0067-6282";"300"
"6079";"Trusts";"Office";"Carter, Price and Haag";"497";"Programmer II";"Isa Eite";"Legal";"4/29/1976";"43368851";"Married";"4";"0029-1527";"211"
"6072";"Clubs and Associations";"Mobile";"Emard-Auer";"410";"Marketing Manager";"Filia Kubalek";"Marketing";"6/29/1979";"13830740";"Single";"3";"11673-041";"410"
"6042";"Clubs and Associations";"Fax";"Homenick, Gusikowski and Ziemann";"451";"Senior Financial Analyst";"Nicolina Howgate";"Services";"8/13/1972";"31468923";"Single";"4";"0781-5183";"513"
"6055";"Partnership Firms";"Office";"Powlowski and Sons";"43";"Director of Sales";"Rayshell Huzzay";"Accounting";"2/17/1972";"84441506";"Married";"6";"0430-0482";"73"
"6029";"Clubs and Associations";"Mobile";"Leannon, Prohaska and Marks";"571";"Legal Assistant";"Courtnay Oswal";"Sales";"11/22/1990";"34178617";"Single";"3";"10812-914";"189"
"6016";"Limited Liability";"Email";"Davis, Lockman and Grant";"195";"Information Systems Manager";"Yurik Hasker";"Business Development";"1/10/86";"95434591";"Married";"1";"21695-472";"831"
"6032";"Limited Liability";"Email";"Shanahan, Trantow and Koch";"803";"Nurse Practicioner";"Amberly Kann";"Human Resources";"5/28/1996";"31843668";"Married";"6";"0363-0699";"651"
"6073";"Partnership Firms";"Email";"Tremblay-Berge";"568";"Civil Engineer";"Maisey Shuttle";"Human Resources";"1/20/1986";"75576384";"Married";"2";"10742-8596";"315"
"6059";"Companies";"Fax";"Wiegand Inc";"705";"Structural Analysis Engineer";"Tracy Fishley";"Product Management";"2/25/1961";"28774397";"Married";"6";"0172-6406";"995"
"6063";"Individuals Joint";"Email";"Carroll-Fay";"431";"Food Chemist";"Brenda Tees";"Accounting";"12/5/93";"59320055";"Single";"3";"0615-1542";"410"
"6061";"Limited Liability";"Office";"O'Hara LLC";"157";"Help Desk Technician";"Jordan Dunbobin";"Accounting";"6/6/83";"10166681";"Married";"3";"0054-4182";"163"
"6017";"Companies";"Email";"Denesik, Davis and Abshire";"863";"Technical Writer";"Daffy Buterton";"Engineering";"2/4/86";"902808";"Married";"1";"0037-0243";"259"
"6018";"Individuals Joint";"Mobile";"Cummerata, Bailey and Nienow";"646";"Quality Engineer";"Timothea Fochs";"Services";"7/10/61";"9285961";"Single";"3";"36987-2609";"493"
"6086";"Companies";"Mobile";"Reichert Inc";"451";"Chief Design Engineer";"Krishnah Evert";"Accounting";"9/2/66";"27977335";"Married";"6";"21695-967";"760"
"6034";"Partnership Firms";"Email";"Rowe-Vandervort";"628";"Web Designer IV";"Adda Happert";"Legal";"10/15/1979";"9159686";"Single";"4";"0113-0154";"420"
"6030";"Individuals Joint";"Office";"Wyman Group";"892";"Teacher";"Harv Fiennes";"Product Management";"5/28/1993";"86386305";"Married";"2";"0049-3990";"92"
"6085";"Individuals Joint";"Email";"Lindgren, Boyle and White";"611";"Research Assistant IV";"Dora Deddum";"Engineering";"2/13/1993";"37798379";"Single";"1";"0135-0459";"796"
"6021";"Partnership Firms";"Mobile";"Rogahn and Sons";"349";"Sales Representative";"Alessandra Bynert";"Accounting";"4/15/1980";"6114385";"Single";"3";"0067-6025";"898"
"6067";"Clubs and Associations";"Mobile";"Cassin-Hahn";"324";"Senior Developer";"Abelard ducarme";"Support";"7/19/1976";"43677218";"Single";"6";"0143-9927";"206"
"6007";"Limited Liability";"Email";"Kris Inc";"709";"Systems Administrator I";"Bevin Whitlam";"Product Management";"7/20/1968";"17418417";"Married";"2";"0023-4383";"642"
"6011";"Clubs and Associations";"Office";"Cormier LLC";"354";"Financial Advisor";"Lynea Switzer";"Legal";"9/26/1969";"49768486";"Single";"2";"0699-0957";"170"
"6043";"Individuals Joint";"Office";"Hills, McClure and Grady";"951";"Senior Financial Analyst";"Gray Hessay";"Research and Development";"10/12/95";"90316506";"Married";"1";"43419-301";"543"
"6000";"Partnership Firms";"Email";"McCullough-Bruen";"658";"Senior Editor";"Dominica Velten";"Business Development";"7/1/98";"46339549";"Single";"4";"0006-0735";"380"
"6036";"Companies";"Mobile";"Mraz Inc";"573";"Technical Writer";"Elna Pilling";"Engineering";"3/3/70";"78381525";"Single";"3";"13537-056";"669"
"6082";"Limited Liability";"Fax";"Schulist-Friesen";"831";"Software Consultant";"Franky Thomesson";"Human Resources";"5/9/83";"5297071";"Married";"4";"0074-5682";"315"
